Продукт,Калорийность,Белки,Жиры,Углеводы
�е масло",463 кКал,"5,88 г","20,78 г","62,09 г"
"M&M MARS, KUDOS Цельнозерный батончик, M&M's молочный шоколад",415 кКал,"3,78 г","11,95 г","70,61 г"
Батончик со злаками и молоком,413 кКал,"6,47 г","10,98 г","71,65 г"
Воздушная кукуруза,354 кКал,"9,4 г","3,3 г","76,5 г"
Воздушная пшеница,354 кКал,"11,9 г","1,7 г","77,5 г"
Воздушный рис,349 кКал,"6,2 г","0,3 г","85,7 г"
"Говяжьи палочки, копченые",550 кКал,"21,5 г","49,6 г","5,4 г"
"Закуски, банановые чипсы",519 кКал,"2,3 г","33,6 г","50,7 г"
"Закуски, кукурузное пирожное, Na 488 мг",387 кКал,"8,1 г","2,4 г","81,5 г"
"Закуски, кукурузное пирожное, очень низкое содержание натрия, Na 28 мг",387 кКал,"8,1 г","2,4 г","83,4 г"
Картофельные палочки,522 кКал,"6,7 г","34,4 г","49,9 г"
"Картофельные чипсы, из сухого картофеля, обезжиренного, с доб. олестры (синтетический заменитель жира)",253 кКал,"5,06 г","0,93 г","48,7 г"
"Картофельные чипсы, из сухого картофеля, со вкусом сметаны и лука",547 кКал,"6,6 г",37 г,"50,1 г"
"Картофельные чипсы, из сухого картофеля, со вкусом сыра",551 кКал,7 г,37 г,"47,2 г"
"Картофельные чипсы, обезжиренные, с доб. олестры (синтетический заменитель жира)",274 кКал,"7,74 г","0,7 г","58,2 г"
"Картофельные чипсы, обезжиренные, с солью",379 кКал,"9,64 г","0,6 г","76,26 г"
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, несоленые",536 кКал,7 г,"34,6 г","48,1 г"
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, соленые",536 кКал,7 г,"34,6 г","48,1 г"
"Картофельные чипсы, обычные, несоленые",536 кКал,7 г,"34,6 г","48,1 г"
"Картофельные чипсы, обычные, соленые",532 кКал,"6,39 г","33,98 г","50,73 г"
"Картофельные чипсы, с пониж. содерж. жира, 20.8%",471 кКал,"7,1 г","20,8 г",61 г
"Картофельные чипсы, с солью, с пониж. содерж. жира, 20.8%",487 кКал,"7,1 г","20,8 г","61,7 г"
"Картофельные чипсы, со вкусом барбекю",487 кКал,"6,51 г","31,06 г","52,12 г"
"Картофельные чипсы, со вкусом сметаны и лука",531 кКал,"8,1 г","33,9 г","46,3 г"
"Картофельные чипсы, со вкусом сыра",496 кКал,"8,5 г","27,2 г","52,5 г"
"Крендельки, мягкие, не соленые",345 кКал,"8,2 г","3,1 г","69,34 г"
Кукурузные палочки,359 кКал,"10,3 г","1,6 г",81 г
Кукурузные хлопья,347 кКал,"15,1 г","1,3 г","73,3 г"
Кукурузные чипсы,539 кКал,"6,17 г","33,36 г","53,27 г"
"Кукурузные чипсы, несоленые",557 кКал,"6,6 г","33,4 г",53 г
"Кукурузные чипсы, со вкусом барбекю",523 кКал,7 г,"32,7 г",51 г
"Кукурузные чипсы, со вкусом барбекю, из обогащенной муки маса",523 кКал,7 г,"32,7 г","56,2 г"
"Попкорн, маложирный, 9.5% жира, приготовленный в микроволновке",424 кКал,"12,6 г","9,5 г","57,8 г"
"Попкорн, маложирный, 9.5% жира, с низким содерж. натрия, приготовленный в микроволновке",429 кКал,"12,6 г","9,5 г","59,19 г"
"Попкорн, приготовленный горячим воздухом",387 кКал,"12,94 г","4,54 г","63,28 г"
"Попкорн, приготовленный горячим воздухом, белый",382 кКал,12 г,"4,2 г","62,8 г"
"Попкорн, приготовленный с использованием масла, в микроволновке",583 кКал,"7,29 г","43,55 г","36,96 г"
"Попкорн, приготовленный с использованием масла, несоленый",500 кКал,9 г,"28,1 г","48,1 г"
"Попкорн, приготовленный с использованием масла, с солью",500 кКал,9 г,"28,1 г","47,2 г"
"Попкорн, с карамелью, без орехов",431 кКал,"3,8 г","12,8 г","73,9 г"
"Попкорн, с карамелью, нежирный, 1.4% жира",381 кКал,2 г,"1,4 г","87,56 г"
"Попкорн, с карамелью, с орехами",400 кКал,"6,4 г","7,8 г","76,9 г"
"Попкорн, с пальмовым маслом, приготовленный в микроволновке",535 кКал,"8,38 г","30,22 г","47,26 г"
"Попкорн, со вкусом сыра",526 кКал,"9,3 г","33,2 г","41,7 г"
Пшеничные хлопья,337 кКал,"12,3 г","1,4 г","73,5 г"
Рисово-пшеничный батончик,409 кКал,"9,09 г","9,09 г","70,93 г"
"Соевые чипсы, соленые",385 кКал,"26,5 г","7,35 г","49,65 г"
Хрустящий картофель,543 кКал,"3,4 г","38,8 г","48,1 г"
Чипсы из батата,532 кКал,"2,94 г","32,35 г","48,02 г"
Шоколадный батончик POWER BAR,363 кКал,"14,15 г","3,11 г","63,93 г"
