Продукт,Калорийность,Белки,Жиры,Углеводы
�безжиренный",48 кКал,10 г,0 г,2 г
"Заменитель яйца, порошок",444 кКал,"55,5 г",13 г,"21,8 г"
Меланж,157 кКал,"12,7 г","11,5 г","0,7 г"
"Омлет из яичного порошка, по 1-316",200 кКал,"10,3 г",17 г,"1,6 г"
"Эгног (напиток из взбитых яиц с сахаром, ромом или вином)",88 кКал,"4,55 г","4,19 г","8,05 г"
"Яичница глазунья, по 1-312",243 кКал,"12,9 г","20,9 г","0,9 г"
Яичница-болтунья,149 кКал,"9,99 г","10,98 г","1,61 г"
"Яичница-болтунья, замороженная",131 кКал,"13,1 г","5,6 г","7,5 г"
Яичный белок куриный,48 кКал,"11,1 г","0,17 г",1 г
Яичный белок куриный,52 кКал,"10,9 г","0,17 г","0,73 г"
"Яичный белок куриный, замороженный",48 кКал,"10,2 г",0 г,"1,04 г"
"Яичный белок куриный, сушеный",350 кКал,"82,4 г","1,8 г","1,2 г"
"Яичный белок куриный, сушеный",382 кКал,"81,1 г",0 г,"7,8 г"
"Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой",351 кКал,"76,92 г","0,04 г","4,17 г"
"Яичный белок куриный, сушеный, порошок, со сниженной глюкозой",376 кКал,"82,4 г","0,04 г","4,47 г"
"Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой",357 кКал,"84,08 г","0,32 г","4,51 г"
Яичный желток куриный,322 кКал,"15,86 г","26,54 г","3,59 г"
Яичный желток куриный,354 кКал,"16,2 г","31,2 г","3,59 г"
Яичный желток куриный замороженный,296 кКал,"15,53 г","25,6 г","0,81 г"
"Яичный желток куриный замороженный, подслащенный",307 кКал,"13,87 г","22,82 г","10,95 г"
"Яичный желток куриный, замороженный, подсоленый",275 кКал,"14,07 г","22,93 г","1,77 г"
"Яичный желток куриный, сушеный",612 кКал,"31,1 г","52,2 г","4,7 г"
"Яичный желток куриный, сушеный",669 кКал,"33,63 г","59,13 г","0,66 г"
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США),555 кКал,"35,6 г","34,5 г","23,97 г"
Яичный порошок,542 кКал,46 г,"37,3 г","4,5 г"
Яйцо гусиное,185 кКал,"13,87 г","13,27 г","1,35 г"
Яйцо индюшиное,171 кКал,"13,68 г","11,88 г","1,15 г"
Яйцо куриное,143 кКал,"12,56 г","9,51 г","0,72 г"
Яйцо куриное,157 кКал,"12,7 г","11,5 г","0,7 г"
Яйцо куриное вареное вкрутую,"158,7 кКал","12,828 г","11,616 г","0,707 г"
Яйцо куриное вареное вкрутую,155 кКал,"12,58 г","10,61 г","1,12 г"
Яйцо куриное вареное всмятку,"158,7 кКал","12,828 г","11,616 г","0,707 г"
Яйцо куриное жареное,196 кКал,"13,61 г","14,84 г","0,83 г"
Яйцо куриное жареное (без масла),"174,6 кКал","14,598 г","12,557 г","0,805 г"
Яйцо куриное сушеное,592 кКал,"48,05 г","43,9 г","1,13 г"
"Яйцо куриное, замороженное",147 кКал,"12,33 г","9,95 г","1,01 г"
"Яйцо куриное, замороженное, подсоленное",138 кКал,"10,97 г","10,07 г","0,83 г"
"Яйцо куриное, омлет",154 кКал,"10,57 г","11,66 г","0,64 г"
"Яйцо куриное, пашот",143 кКал,"12,51 г","9,47 г","0,71 г"
"Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой",615 кКал,"48,17 г","43,95 г","2,38 г"
Яйцо перепелиное,158 кКал,"13,05 г","11,09 г","0,41 г"
Яйцо перепелиное,168 кКал,"11,9 г","13,1 г","0,6 г"
"Яйцо под майонезом, по 1-86",256 кКал,"4,1 г","24,5 г","4,7 г"
Яйцо утиное,185 кКал,"12,81 г","13,77 г","1,45 г"
