Продукт,Калорийность,Белки,Жиры,Углеводы
�робленным Фундуком [Яшкино],554 кКал,"6,2 г","35,6 г","52,3 г"
Elle [Яшкино],240 кКал,"2,7 г","9,5 г","35,7 г"
Fun Banan [Яшкино],490 кКал,"4,5 г",24 г,63 г
Impulse [Яшкино],447 кКал,"2,6 г","16,5 г",73 г
Pro Чипсы [Яшкино],510 кКал,6 г,31 г,51 г
Zебра [Яшкино],460 кКал,"5,4 г",26 г,52 г
Арахис в Какао [Яшкино],410 кКал,8 г,13 г,73 г
Арахис в Молочной Шоколадной Глазури [Яшкино],570 кКал,14 г,41 г,35 г
Батончик [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Батончик Funbanan [Яшкино],490 кКал,"4,5 г",24 г,63 г
Батончик Zebra [Яшкино],470 кКал,"6,5 г",24 г,58 г
Батончик Зебра [Яшкино],460 кКал,"5,4 г",26 г,52 г
Белый Шоколад [Яшкино],575 кКал,7 г,37 г,54 г
Белый Шоколад Карамельный [Яшкино],550 кКал,8 г,33 г,56 г
Бельгийский Молочный Шоколад [Яшкино],530 кКал,5 г,29 г,60 г
Бельгийский Молочный Шоколад с Бисквитными Шариками [Яшкино],510 кКал,"5,5 г",27 г,61 г
Бельгийский Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино],490 кКал,5 г,25 г,60 г
Бельгийский Темный Шоколад 55% Какао [Яшкино],525 кКал,"5,5 г",35 г,47 г
Бисквитное Печенье [Яшкино],295 кКал,"3,5 г",4 г,61 г
Бисквитное Печенье Апельсин [Яшкино],370 кКал,4 г,9 г,68 г
Бретцель с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
"Вафельная Конфета ""Дивная Даренка"" Глазированная [Яшкино]",560 кКал,"5,1 г",32 г,62 г
Вафельная Конфета [Яшкино],520 кКал,5 г,32 г,62 г
Вафельная Конфета Импульс [Яшкино],490 кКал,4 г,25 г,62 г
Вафельное Драже [Яшкино],529 кКал,"7,5 г","32,3 г","54,3 г"
Вафельные Кубики в Молочной Глазури [Яшкино],550 кКал,"4,2 г",32 г,56 г
Вафельные Рулетики со Вкусом Сгущённого Молока [Яшкино],510 кКал,5 г,25 г,66 г
Вафельные Рулетики со Сгущенкой [Яшкино],510 кКал,5 г,"25,2 г","66,2 г"
Вафельные Трубочки [Яшкино],482 кКал,7 г,"23,7 г","71,7 г"
Вафельные Трубочки Лесной Орех [Яшкино],500 кКал,8 г,23 г,64 г
Вафельные Трубочки Ореховые [Яшкино],490 кКал,"5,5 г",23 г,64 г
Вафельные Трубочки со Вкусом Сгущённого Молока [Яшкино],490 кКал,"4,5 г",22 г,69 г
Вафельный Сэндвич [Яшкино],500 кКал,"5,5 г",27 г,58 г
"Вафли ""Яшкинская Белочка"" [Яшкино]",470 кКал,6 г,25 г,56 г
Вафли Impulse [Яшкино],460 кКал,"3,6 г",25 г,55 г
Вафли Белочка [Яшкино],510 кКал,7 г,28 г,60 г
Вафли в Шоколаде [Яшкино],530 кКал,5 г,31 г,57 г
Вафли Вафельный Сэндвич [Яшкино],510 кКал,"5,5 г",30 г,56 г
Вафли Глазированные [Яшкино],520 кКал,"5,5 г",30 г,58 г
Вафли Глазированные в Карамели [Яшкино],450 кКал,6 г,24 г,54 г
Вафли Глазированные с Орехами [Яшкино],500 кКал,"5,5 г",30 г,51 г
Вафли Глазированные с Орешками Яшкино,530 кКал,6 г,32 г,55 г
Вафли Голландские [Яшкино],430 кКал,"5,5 г",15 г,67 г
Вафли Голландские с Карамельной Начинкой [Яшкино],440 кКал,6 г,15 г,69 г
Вафли Голландские с Карамелью [Яшкино],440 кКал,7 г,24 г,50 г
Вафли Голландские с Начинкой из Варёной Сгущёнки [Яшкино],420 кКал,6 г,16 г,63 г
Вафли Голландские со Сгущенкой [Яшкино],437 кКал,"6,7 г","16,4 г","65,3 г"
Вафли Зебра [Яшкино],520 кКал,5 г,27 г,63 г
Вафли Капуччино [Яшкино],515 кКал,"4,9 г","27,6 г","60,1 г"
Вафли Месье Шоколатье [Яшкино],510 кКал,"5,5 г",28 г,58 г
Вафли Ореховые [Яшкино],480 кКал,6 г,25 г,57 г
Вафли с Варёной Сгущёнкой [Яшкино],520 кКал,5 г,27 г,63 г
Вафли с Карамельной Начинкой [Яшкино],430 кКал,"5,5 г",15 г,67 г
Вафли с Карамелью [Яшкино],440 кКал,7 г,24 г,50 г
Вафли с Карамелью Глазированные [Яшкино],450 кКал,"4,5 г",24 г,56 г
Вафли с Мягкой Карамелью [Яшкино],460 кКал,"3,6 г",25 г,55 г
Вафли с Мягкой Карамелью Глазированные Шоколадом [Яшкино],450 кКал,6 г,24 г,54 г
Вафли с Мягкой Карамелью и Воздушной Кукурузой [Яшкино],470 кКал,6 г,21 г,65 г
"Вафли с Мягкой Карамелью, Арахисом и Изюмом [Яшкино]",480 кКал,7 г,26 г,55 г
Вафли с Орешками [Яшкино],500 кКал,"5,5 г",30 г,51 г
Вафли с Пористым Шоколадом [Яшкино],555 кКал,"5,4 г","31,8 г","61,7 г"
Вафли с Халвой [Яшкино],500 кКал,"7,5 г",26 г,60 г
Вафли со Вкусом Лимона [Яшкино],550 кКал,5 г,31 г,63 г
